trial_index,time_elapsed,rt,response,avg_frame_time,center_x,center_y,note,correct
318,361061,"[755,773]","[""a"",""f""]",16.6670678,250,150,1001,TRUE
319,362068,"[800,887]","[""a"",""d""]",16.66588136,250,150,1010,TRUE
320,363074,[],[],16.66506667,250,150,1010,FALSE
321,364076,"[203,650]","[""d"",""s""]",16.66850847,250,150,110,TRUE
322,365085,"[507,528]","[""f"",""a""]",16.66701695,250,150,1001,TRUE
323,366091,"[575,576,591]","[""a"",""d"",""s""]",16.66686667,250,150,1100,FALSE
324,367093,"[514,514]","[""s"",""f""]",16.66701695,250,150,101,TRUE
325,368100,[424],"[""s""]",16.66494915,250,150,100,TRUE
326,369108,"[488,488]","[""a"",""s""]",16.66701667,250,150,1100,TRUE
327,370117,"[515,538,538]","[""f"",""a"",""d""]",16.66701695,250,150,1011,TRUE
328,371124,[449],"[""a""]",16.66653333,250,150,1000,TRUE
329,372132,"[464,482]","[""s"",""d""]",16.66844068,250,150,110,TRUE
330,373140,"[545,568,977]","[""s"",""d"",""f""]",16.66823729,250,150,111,TRUE
331,374141,"[760,760]","[""d"",""f""]",16.66656667,250,150,11,TRUE
332,375148,"[562,562]","[""a"",""f""]",16.66701695,250,150,1001,TRUE
333,376156,[457],"[""a""]",16.66691525,250,150,1000,TRUE
334,377158,"[488,488]","[""s"",""f""]",16.66806667,250,150,101,TRUE
335,378164,"[638,638,662]","[""s"",""f"",""a""]",16.66664407,250,150,1101,TRUE
336,379172,"[557,557,557]","[""a"",""d"",""f""]",16.66671186,250,150,1011,TRUE
337,380175,"[497,497,514]","[""a"",""s"",""d""]",16.66693333,250,150,1110,TRUE
338,381180,"[456,478]","[""d"",""s""]",16.668,250,150,110,TRUE
339,382189,"[530,530,553]","[""d"",""f"",""a""]",16.66830508,250,150,1011,TRUE
340,383191,"[505,505]","[""s"",""d""]",16.66748333,250,150,110,TRUE
341,384196,"[463,463]","[""a"",""f""]",16.66686441,250,150,1001,TRUE
342,385204,"[457,498]","[""a"",""s""]",16.66491525,250,150,1100,TRUE
343,386208,[417],"[""f""]",16.66693333,250,150,1,TRUE
344,387213,[468],"[""a""]",16.667,250,150,1000,TRUE
345,388221,[481],"[""f""]",16.66557627,250,150,1,TRUE
346,389225,"[534,551]","[""f"",""s""]",16.66671667,250,150,101,TRUE
347,390228,"[491,515]","[""f"",""s""]",16.66691525,250,150,101,TRUE
348,391237,"[488,488,504]","[""a"",""s"",""d""]",16.66866102,250,150,1110,TRUE
349,392242,[504],"[""a""]",16.6683,250,150,1000,TRUE
350,393245,[459],"[""d""]",16.66786441,250,150,10,TRUE
351,394252,[473],"[""a""]",16.66689831,250,150,1000,TRUE
352,395258,[432],"[""a""]",16.66659322,250,150,1000,TRUE
353,396261,[290],"[""a""]",16.66695,250,150,1000,TRUE
354,397268,"[512,531]","[""a"",""f""]",16.66623729,250,150,1001,TRUE
355,398275,[409],"[""a""]",16.66671667,250,150,1000,TRUE
356,399276,"[475,475,498]","[""s"",""f"",""d""]",16.66455932,250,150,111,TRUE
357,400284,[489],"[""f""]",16.6670678,250,150,1,TRUE
358,401292,"[466,466]","[""a"",""f""]",16.66695,250,150,1001,TRUE
359,402300,"[474,474]","[""a"",""s""]",16.66881356,250,150,1100,TRUE
360,403308,[423],"[""f""]",16.66698333,250,150,1,TRUE
361,404316,[448],"[""d""]",16.66689831,250,150,10,TRUE
362,405325,[458],"[""d""]",16.66681356,250,150,10,TRUE
363,406325,"[335,439]","[""a"",""s""]",16.66751667,250,150,100,FALSE
364,407333,"[435,435]","[""a"",""s""]",16.66886441,250,150,1100,TRUE
365,408340,"[521,521]","[""a"",""d""]",16.66694915,250,150,1010,TRUE
366,409342,[456],"[""a""]",16.66881667,250,150,1000,TRUE
367,410349,"[464,464,895]","[""a"",""s"",""d""]",16.66808475,250,150,1110,TRUE
368,411357,[576],"[""f""]",16.66691525,250,150,1,TRUE
369,412358,"[480,480]","[""s"",""f""]",16.66618333,250,150,101,TRUE
370,413365,"[481,503]","[""s"",""a""]",16.66767797,250,150,1100,TRUE
371,414375,[553],"[""d""]",16.66656667,250,150,10,TRUE
372,415380,"[596,621]","[""d"",""a""]",16.66689831,250,150,1010,TRUE
373,416390,"[505,505]","[""s"",""d""]",16.66830508,250,150,110,TRUE
374,417392,"[607,631]","[""d"",""a""]",16.66855,250,150,1010,TRUE
375,418398,"[531,551,731]","[""f"",""d"",""d""]",16.66662712,250,150,10,FALSE
376,419405,"[606,624,624]","[""f"",""a"",""d""]",16.66749153,250,150,1011,TRUE
377,420409,"[482,482]","[""d"",""f""]",16.66835,250,150,11,TRUE
378,421412,"[455,455]","[""d"",""f""]",16.66688136,250,150,11,TRUE
379,422421,"[484,529,553]","[""s"",""d"",""a""]",16.66547458,250,150,1110,TRUE
380,423426,[520],"[""f""]",16.66563333,250,150,1,TRUE
381,424428,"[428,428,452]","[""s"",""d"",""a""]",16.6669661,250,150,1110,TRUE
382,425437,"[520,538]","[""f"",""a""]",16.66557627,250,150,1011,FALSE
383,426443,[1],"[""d""]",16.66711667,250,150,10,TRUE
384,427445,"[84,571,595,595]","[""d"",""d"",""a"",""f""]",16.66686441,250,150,1001,FALSE
385,428453,"[496,496,515]","[""a"",""f"",""d""]",16.66679661,250,150,1011,TRUE
386,429459,"[487,512]","[""s"",""f""]",16.66731667,250,150,101,TRUE
387,430468,"[466,490,572]","[""a"",""s"",""d""]",16.66572881,250,150,1110,TRUE
